game_date,player_name,batter,pitcher,outs_when_up,inning,hc_x,hc_y,launch_angle,launch_speed,home_team,game_pk
2024-03-21,Mookie Betts,605141,650633,1,5,52.83,61.78,29,101.5,LAD,746175
2024-03-21,Manny Machado,592518,656420,0,9,48.98,54.68,25,107.7,LAD,746175
2024-03-28,Yandy Díaz,650490,621244,0,1,23.89,96.78,19,107.2,TB,745116
2024-03-28,Maikel Garcia,672580,641154,0,1,38.09,63.26,30,99.2,KC,746335
2024-03-28,Lourdes Gurriel Jr.,666971,607536,1,1,21.01,75.46,33,106.2,AZ,747224
2024-03-28,Royce Lewis,668904,666142,2,1,47.18,46.5,30,104.2,KC,746335
2024-03-28,Mike Trout,545361,669203,2,1,89.49,40.39,37,102.5,BAL,747060
2024-03-28,Jake Meyers,676694,641482,0,2,17.54,69.23,28,110,HOU,746418
2024-03-28,Nick Martini,605361,680686,1,2,208.83,57.1,29,104.9,CIN,746737
2024-03-28,Mookie Betts,605141,571945,0,3,30.62,64.08,28,104.6,LAD,746165
2024-03-28,Freddie Freeman,518692,571945,0,3,148.1,35.18,33,101.7,LAD,746165
2024-03-28,Bryan Reynolds,668804,666200,1,3,65.98,44.08,24,107.5,MIA,746089
2024-03-28,Nick Martini,605361,680686,1,3,179.85,47.65,23,100.8,CIN,746737
2024-03-28,Rafael Devers,646240,622491,2,3,77.49,44.55,27,104.4,SEA,745283
2024-03-28,Paul Goldschmidt,502671,607192,0,4,42.1,59.49,28,101.8,LAD,746165
2024-03-28,George Springer,543807,621107,0,4,59.43,55.1,26,100.3,TB,745116
2024-03-28,Mitch Haniger,571745,678394,2,4,205.43,71.02,26,102.1,SEA,745283
2024-03-28,Anthony Santander,623993,660761,2,4,39.64,46.36,26,107.1,BAL,747060
2024-03-28,Oswaldo Cabrera,665828,606160,1,6,203.35,65.37,25,99.6,HOU,746418
2024-03-28,Cavan Biggio,624415,621107,1,6,208.26,75.84,25,99.6,TB,745116
2024-03-28,Adolis García,666969,622075,1,6,30.02,64.12,31,104.5,TEX,745039
2024-03-28,Vladimir Guerrero Jr.,665489,621107,2,6,109.55,17.44,29,111.8,TB,745116
2024-03-28,Cedric Mullins,656775,542585,0,7,137.83,36.75,26,103.1,BAL,747060
2024-03-28,Edward Olivares,658668,677053,0,7,86.24,36.44,26,102.4,MIA,746089
2024-03-28,Dylan Moore,664238,570257,0,7,158.73,36.99,29,104,SEA,745283
2024-03-28,Eddie Rosario,592696,641941,2,7,207.92,64.31,35,101.3,CIN,746737
2024-03-28,Oneil Cruz,665833,664350,0,8,48.04,64.23,23,105.5,MIA,746089
2024-03-28,Tyler O'Neill,641933,675989,0,8,176.75,47.84,28,104.3,SEA,745283
2024-03-28,Travis Jankowski,608671,640470,0,9,211.09,62.42,26,99,TEX,745039
2024-03-28,Michael Conforto,624424,663158,2,9,183.42,38.88,29,105.9,SD,745445
2024-03-29,Mookie Betts,605141,668868,0,1,32.07,70.48,31,100,LAD,746167
2024-03-29,José Ramírez,608070,548389,1,1,222.3,80.37,25,93.2,OAK,745682
2024-03-29,Christian Walker,572233,615698,2,1,42.42,54.76,19,111.7,AZ,747223
2024-03-29,Matt Chapman,656305,605397,2,1,144.79,35.5,25,104.2,SD,745435
2024-03-29,Lourdes Gurriel Jr.,666971,615698,2,1,17.09,86.13,39,103,AZ,747223
2024-03-29,Starling Marte,516782,642547,1,2,70.81,55.34,18,109.2,NYM,745848
2024-03-29,Teoscar Hernández,606192,668868,1,2,224.67,82.68,27,100.3,LAD,746167
2024-03-29,Elias Díaz,553869,518876,1,2,63.59,44.7,25,104.4,AZ,747223
2024-03-29,Brandon Lowe,664040,605135,0,3,177.44,26.26,23,111,TB,745117
2024-03-29,George Springer,543807,650644,2,3,23.84,92.97,25,100.1,TB,745117
2024-03-29,J.D. Davis,605204,671106,0,4,159.72,36.59,27,104.9,OAK,745682
2024-03-29,Christian Yelich,592885,500779,0,4,190.06,55.06,19,108.7,NYM,745848
2024-03-29,Manny Machado,592518,690986,1,4,40.06,62.05,27,104.1,SD,745435
2024-03-29,Teoscar Hernández,606192,668868,1,4,57.26,66.04,34,96.7,LAD,746167
2024-03-29,Brandon Marsh,669016,675911,1,5,90.1,48.37,29,103.9,PHI,745604
2024-03-29,Alek Thomas,677950,656234,0,6,212.68,62.23,33,105.1,AZ,747223
2024-03-29,Fernando Tatis Jr.,665487,690986,0,6,22.1,52.51,25,114.9,SD,745435
2024-03-29,J.D. Davis,605204,671106,0,6,133.11,31.58,34,100.6,OAK,745682
2024-03-29,J.P. Crawford,641487,601713,1,6,232.98,86.87,29,105.5,SEA,745276
2024-03-29,Miguel Rojas,500743,606149,1,7,23.37,89.4,19,104.9,LAD,746167
