game_date,player_name,batter,pitcher,outs_when_up,at_bat_number,hc_x,hc_y,launch_angle,launch_speed,home_team,game_pk,plate_x,plate_z
2024-03-21,Mookie Betts,605141,650633,1,59,52.83,61.78,29,101.5,LAD,746175,-0.91,2.23
2024-03-21,Manny Machado,592518,656420,0,96,48.98,54.68,25,107.7,LAD,746175,-0.02,2.84
2024-03-28,Adolis García,666969,622075,1,44,30.02,64.12,31,104.5,TEX,745039,0.4,2.39
2024-03-28,Travis Jankowski,608671,640470,0,69,211.09,62.42,26,99,TEX,745039,0.7,2.08
2024-03-28,George Springer,543807,621107,0,21,59.43,55.1,26,100.3,TB,745116,0.4,3.03
2024-03-28,Cavan Biggio,624415,621107,1,36,208.26,75.84,25,99.6,TB,745116,0.27,1.93
2024-03-28,Vladimir Guerrero Jr.,665489,621107,2,38,109.55,17.44,29,111.8,TB,745116,-0.02,2.49
2024-03-28,Yandy Díaz,650490,621244,0,4,23.89,96.78,19,107.2,TB,745116,-1.07,2.29
2024-03-28,Rafael Devers,646240,622491,2,19,77.49,44.55,27,104.4,SEA,745283,-0.63,2.92
2024-03-28,Mitch Haniger,571745,678394,2,33,205.43,71.02,26,102.1,SEA,745283,0.43,2.31
2024-03-28,Dylan Moore,664238,570257,0,57,158.73,36.99,29,104,SEA,745283,0.03,2.04
2024-03-28,Tyler O'Neill,641933,675989,0,61,176.75,47.84,28,104.3,SEA,745283,0.18,1.93
2024-03-28,Michael Conforto,624424,663158,2,70,183.42,38.88,29,105.9,SD,745445,-0.05,2.07
2024-03-28,Bryan Reynolds,668804,666200,1,21,65.98,44.08,24,107.5,MIA,746089,0.02,3.36
2024-03-28,Edward Olivares,658668,677053,0,54,86.24,36.44,26,102.4,MIA,746089,-0.35,3.17
2024-03-28,Oneil Cruz,665833,664350,0,66,48.04,64.23,23,105.5,MIA,746089,-0.67,3.26
2024-03-28,Mookie Betts,605141,571945,0,20,30.62,64.08,28,104.6,LAD,746165,-0.5,2.64
2024-03-28,Freddie Freeman,518692,571945,0,22,148.1,35.18,33,101.7,LAD,746165,-0.52,2.88
2024-03-28,Paul Goldschmidt,502671,607192,0,26,42.1,59.49,28,101.8,LAD,746165,-0.07,1.67
2024-03-28,Royce Lewis,668904,666142,2,3,47.18,46.5,30,104.2,KC,746335,-0.44,2.6
2024-03-28,Maikel Garcia,672580,641154,0,6,38.09,63.26,30,99.2,KC,746335,-0.4,2.78
2024-03-28,Jake Meyers,676694,641482,0,17,17.54,69.23,28,110,HOU,746418,-0.87,2.34
2024-03-28,Oswaldo Cabrera,665828,606160,1,49,203.35,65.37,25,99.6,HOU,746418,0.85,2.05
2024-03-28,Nick Martini,605361,680686,1,15,208.83,57.1,29,104.9,CIN,746737,0.15,2.11
2024-03-28,Nick Martini,605361,680686,1,27,179.85,47.65,23,100.8,CIN,746737,-0.42,2.27
2024-03-28,Eddie Rosario,592696,641941,2,54,207.92,64.31,35,101.3,CIN,746737,0.71,3.39
2024-03-28,Mike Trout,545361,669203,2,3,89.49,40.39,37,102.5,BAL,747060,0.3,2.1
2024-03-28,Anthony Santander,623993,660761,2,35,39.64,46.36,26,107.1,BAL,747060,-0.78,1.96
2024-03-28,Cedric Mullins,656775,542585,0,56,137.83,36.75,26,103.1,BAL,747060,-0.56,3.49
2024-03-28,Lourdes Gurriel Jr.,666971,607536,1,6,21.01,75.46,33,106.2,AZ,747224,-0.42,2.34
2024-03-29,George Springer,543807,650644,2,17,23.84,92.97,25,100.1,TB,745117,0.13,2.41
2024-03-29,Brandon Lowe,664040,605135,0,23,177.44,26.26,23,111,TB,745117,0.16,2.53
2024-03-29,J.P. Crawford,641487,601713,1,40,232.98,86.87,29,105.5,SEA,745276,0.55,2.01
2024-03-29,Manny Machado,592518,690986,1,33,40.06,62.05,27,104.1,SD,745435,-0.27,2.22
2024-03-29,Matt Chapman,656305,605397,2,4,144.79,35.5,25,104.2,SD,745435,-0.38,2.91
2024-03-29,Fernando Tatis Jr.,665487,690986,0,47,22.1,52.51,25,114.9,SD,745435,0.18,2.67
2024-03-29,Fernando Tatis Jr.,665487,643511,1,66,24.24,93.97,18,109.6,SD,745435,0.83,3.82
2024-03-29,Matt Chapman,656305,658648,1,71,3.51,76.81,26,111.7,SD,745435,-0.42,1.83
2024-03-29,Brandon Marsh,669016,675911,1,36,90.1,48.37,29,103.9,PHI,745604,0.11,2.75
2024-03-29,José Ramírez,608070,548389,1,3,222.3,80.37,25,93.2,OAK,745682,-0.97,3.51
2024-03-29,J.D. Davis,605204,671106,0,30,159.72,36.59,27,104.9,OAK,745682,0.07,3.11
2024-03-29,J.D. Davis,605204,671106,0,48,133.11,31.58,34,100.6,OAK,745682,-0.06,3.16
2024-03-29,Starling Marte,516782,642547,1,13,70.81,55.34,18,109.2,NYM,745848,-0.48,2.35
2024-03-29,Christian Yelich,592885,500779,0,22,190.06,55.06,19,108.7,NYM,745848,0.06,2.63
2024-03-29,Teoscar Hernández,606192,668868,1,12,224.67,82.68,27,100.3,LAD,746167,0.39,3.27
2024-03-29,Teoscar Hernández,606192,668868,1,28,57.26,66.04,34,96.7,LAD,746167,0.4,3.06
2024-03-29,Mookie Betts,605141,668868,0,4,32.07,70.48,31,100,LAD,746167,-0.43,2.35
2024-03-29,Miguel Rojas,500743,606149,1,53,23.37,89.4,19,104.9,LAD,746167,-0.5,2.69
2024-03-29,Giancarlo Stanton,519317,656232,1,77,76.65,36.77,21,109.7,HOU,746412,0.02,2.32
2024-03-29,Elias Díaz,553869,518876,1,12,63.59,44.7,25,104.4,AZ,747223,-0.02,2.52
2024-03-29,Alek Thomas,677950,656234,0,46,212.68,62.23,33,105.1,AZ,747223,0.52,2.74
2024-03-29,Lourdes Gurriel Jr.,666971,615698,2,7,17.09,86.13,39,103,AZ,747223,0.1,3.32
2024-03-29,Christian Walker,572233,615698,2,8,42.42,54.76,19,111.7,AZ,747223,-0.77,2.16
2024-03-30,Dansby Swanson,621020,674003,0,10,66.08,53.5,22,107.7,TEX,745037,0.18,2.46
2024-03-30,Jared Walsh,665120,543294,0,16,197.94,40.38,31,106.9,TEX,745037,-0.34,1.7
2024-03-30,Adolis García,666969,543294,1,25,188.85,61.74,31,100.8,TEX,745037,0.7,3.06
2024-03-30,Josh Jung,673962,676962,2,69,56.46,40.49,29,104.9,TEX,745037,-0.04,2.11
2024-03-30,Randy Arozarena,668227,579328,1,39,228.2,90.79,29,103.7,TB,745119,0.56,2.68
2024-03-30,Jung Hoo Lee,808982,676680,1,56,193.37,49.05,32,104.4,SD,745436,0.6,2.66
2024-03-30,Michael Conforto,624424,676680,1,61,204.4,66.55,23,105.1,SD,745436,0.55,2.76
2024-03-30,Eguy Rosario,666703,669062,0,74,44.21,81,23,103.1,SD,745436,-0.3,3.37
2024-03-30,Graham Pauley,688363,666808,1,78,232.12,98.35,34,96.5,SD,745436,0.45,1.88
2024-03-30,Ozzie Albies,645277,605400,0,2,179.05,50.01,29,97.3,PHI,745599,-0.39,1.61
2024-03-30,Matt Olson,621566,605400,0,24,212.43,93.56,47,102.3,PHI,745599,0.22,2.57
2024-03-30,J.T. Realmuto,592663,445926,1,32,44.74,59.68,32,101.3,PHI,745599,-0.48,2.89
2024-03-30,Marcell Ozuna,542303,622554,2,55,66.97,58.52,32,97.8,PHI,745599,0.27,2.07
2024-03-30,Michael Harris II,671739,641401,0,75,188.36,61.31,41,105,PHI,745599,-0.07,2.9
2024-03-30,Steven Kwan,680757,547184,2,66,206.28,46.71,29,102.5,OAK,745684,0.47,1.96
2024-03-30,Francisco Alvarez,682626,669084,0,19,43.3,59.23,21,109.7,NYM,745850,-0.11,2.61
2024-03-30,Rhys Hoskins,656555,622663,1,26,15.87,85.6,28,107.4,NYM,745850,-0.07,2.4
2024-03-30,Brett Baty,683146,571948,1,76,185.68,37.57,29,108.2,NYM,745850,0.74,2.12
2024-03-30,Pete Alonso,624413,682842,1,84,54.11,50.84,18,113.8,NYM,745850,0.71,2.92
2024-03-30,Mookie Betts,605141,664854,1,73,73.78,42.23,29,100.1,LAD,746168,-0.13,2.82
2024-03-30,Oswaldo Cabrera,665828,650556,0,51,213.66,91.99,32,90.3,HOU,746410,1.16,2.75
2024-03-30,Juan Soto,665742,650556,2,54,35.92,98.86,24,102,HOU,746410,-0.69,2.37
2024-03-30,Anthony Volpe,683011,519151,2,61,63.31,60.92,32,96.9,HOU,746410,-0.52,2.43
2024-03-30,Jeimer Candelario,600869,571578,2,30,36.88,73.67,32,97.6,CIN,746736,-0.7,2.54
2024-03-30,Luke Maile,571912,571578,1,40,175.81,56.5,31,96,CIN,746736,0.94,2.31
2024-03-30,Keibert Ruiz,660688,608371,1,60,238.11,93.29,37,106.8,CIN,746736,0.23,3.1
2024-03-30,Luis Robert Jr.,673357,628317,1,10,71.4,45.14,23,111.9,CWS,746818,-0.34,2.89
2024-03-30,Braden Shewmake,669699,628317,1,18,210.48,72.74,28,100.4,CWS,746818,-0.5,2.26
2024-03-30,Luis Robert Jr.,673357,628317,1,28,56.39,44.74,30,104.8,CWS,746818,0.54,3.15
2024-03-30,Mark Canha,592192,647336,2,41,27.26,81.04,21,106.5,CWS,746818,-0.06,3.03
2024-03-30,Riley Greene,682985,608678,0,56,91.26,42.78,31,104.5,CWS,746818,0.39,2.84
2024-03-30,Taylor Ward,621493,680570,1,27,102.05,31.32,24,105.6,BAL,747063,-0.07,2.05
2024-03-30,Gunnar Henderson,683002,656288,0,5,154.79,31.91,29,106.6,BAL,747063,0.34,1.3
2024-03-30,Anthony Santander,623993,670871,0,52,196.72,72.09,32,98,BAL,747063,0.34,0.99
2024-03-30,Ezequiel Tovar,678662,674072,2,14,60.88,49.59,27,103.7,AZ,747221,0.2,3.25
2024-03-30,Eugenio Suárez,553993,596295,0,31,63.43,48.84,28,100,AZ,747221,-0.47,2.74
2024-03-30,Lourdes Gurriel Jr.,666971,596295,2,45,45.99,51.4,32,103.6,AZ,747221,-0.57,2.76
2024-03-30,Brenton Doyle,686668,686826,1,69,35.84,72.16,23,101.1,AZ,747221,-0.57,3.25
2024-03-31,Christopher Morel,666624,592351,1,4,51.26,53.82,23,107.4,TEX,745035,0.33,2.6
2024-03-31,Justin Turner,457759,641302,0,35,46.42,57.53,26,103.6,TB,745115,0.04,3.48
2024-03-31,Davis Schneider,676914,641302,2,39,30.49,83.52,24,102.8,TB,745115,-0.64,1.99
2024-03-31,Isaac Paredes,670623,643338,2,76,30.87,90.12,28,95.7,TB,745115,-0.19,2.16
2024-03-31,Randy Arozarena,668227,592332,2,9,198.45,61.38,25,107.1,TB,745115,-0.2,2.43
2024-03-31,Enmanuel Valdez,665839,682243,2,31,229.91,86.56,38,105,SEA,745279,-0.13,2.82
2024-03-31,Tyler O'Neill,641933,682243,1,9,22.34,93.27,36,103.4,SEA,745279,0.24,3.34
2024-03-31,Luis Campusano,669134,641726,2,11,219.72,103.89,37,96.4,SD,745438,0.38,2.86
2024-03-31,Ha-Seong Kim,673490,641726,2,23,22.4,97.54,31,98.8,SD,745438,-0.33,2.17
2024-03-31,Thairo Estrada,642731,650633,0,41,61.39,46.49,28,105.3,SD,745438,-0.71,2.35
2024-03-31,Ozzie Albies,645277,624133,0,2,29.26,86.83,34,96.3,PHI,745602,-0.6,1.67
2024-03-31,Kyle Schwarber,656941,519242,0,6,214.22,71.35,19,114.4,PHI,745602,0.23,2.57
2024-03-31,Avisaíl García,541645,663559,0,38,165.71,33.16,23,106.9,MIA,746090,0.3,3.23
2024-03-31,Rowdy Tellez,642133,661269,2,61,100.35,28.71,29,106.6,MIA,746090,0.01,2.57
2024-03-31,Nick Gordon,624503,670280,1,78,191.9,47.66,29,106.5,MIA,746090,-0.38,2.44
2024-03-31,Jazz Chisholm Jr.,665862,663559,0,8,193.03,40.65,26,104.9,MIA,746090,-0.39,3.28
2024-03-31,Teoscar Hernández,606192,669467,1,68,71.35,48.39,20,106.2,LAD,746166,-0.33,1.94
2024-03-31,Max Muncy,571970,667463,1,70,208.5,49.8,31,107,LAD,746166,0.51,2.3
2024-03-31,Kyle Isbel,664728,641927,0,17,212.41,60.27,24,105.5,KC,746332,0.1,2.07
2024-03-31,Maikel Garcia,672580,641927,0,18,57.82,41.78,28,103.8,KC,746332,-0.49,3.03
2024-03-31,Bobby Witt Jr.,677951,681892,1,31,109.58,24.08,30,109.8,KC,746332,-0.69,1.53
2024-03-31,Nelson Velázquez,676369,663485,1,55,18.86,82.72,23,108.1,KC,746332,-0.88,3.29
2024-03-31,Salvador Perez,521692,641927,1,7,39.55,61.13,31,98.7,KC,746332,0.61,1.69
2024-03-31,Jose Altuve,514888,657376,2,22,47.36,85.57,44,99.7,HOU,746413,0.02,1.94
2024-03-31,CJ Abrams,682928,607259,1,16,197.16,39.97,25,107.1,CIN,746739,0.33,1.88
2024-03-31,Trey Lipscomb,702358,571656,0,53,167.36,49.61,25,102.4,CIN,746739,-0.05,2.8
2024-03-31,Will Benson,666181,640448,2,80,97.81,35,25,102.9,CIN,746739,0.22,3.3
2024-03-31,Christian Encarnacion-Strand,687952,640448,2,81,16.33,85.61,25,113.3,CIN,746739,0.22,2.71
2024-03-31,Korey Lee,686676,656427,0,20,80.26,45.43,26,107.9,CWS,746815,0.18,2.49
2024-03-31,Kerry Carpenter,681481,607200,0,25,211.94,64.89,32,105,CWS,746815,-0.35,3.5
2024-03-31,Jake Rogers,668670,607200,0,35,36.81,89.7,25,102.5,CWS,746815,0.04,2.56
2024-03-31,Paul DeJong,657557,605177,1,54,207.02,80.19,25,102.9,CWS,746815,0.36,2.42
2024-03-31,Taylor Ward,621493,669330,2,4,27.53,70.27,25,107.6,BAL,747062,-0.26,2.15
