game_date,player_name,batter,pitcher,outs_when_up,inning,hc_x,hc_y
2024-09-17,Ian Happ,664023,695243,1,9,37.89,80.79
2024-08-02,Josh Bell,605137,547973,2,7,225.08,86.08
2024-06-05,Julio Rodríguez,677594,695243,0,9,146.18,37.84
2024-04-25,Gary Sánchez,596142,547973,2,8,223.48,83.97
2024-09-01,Josh Jung,673962,695243,2,10,225.74,89.94
2024-08-08,Oswaldo Cabrera,665828,690829,0,9,40.06,74.41
2024-08-25,Tyler O'Neill,641933,679885,0,9,220.91,110.81
2024-09-05,Parker Meadows,678009,663158,2,9,50.36,73.82
2024-05-26,Ian Happ,664023,664854,0,9,127.68,27.02
2024-06-18,Teoscar Hernández,606192,680767,2,9,196.26,42.4
2024-09-22,Mookie Betts,605141,678020,0,9,52.73,63.95
2024-05-10,Cody Bellinger,641355,683003,2,1,213.75,67.38
2024-09-20,Lenyn Sosa,672820,663158,2,9,52.91,64.73
2024-09-11,Jordyn Adams,677941,660896,2,6,87.18,33.87
2024-08-30,Andrew McCutchen,457705,661403,0,9,212.1,76.65
2024-09-15,Heliot Ramos,671218,663158,0,9,234.66,81.17
2024-06-11,Byron Buxton,621439,680767,0,7,120.49,21.33
2024-06-05,Shohei Ohtani,660271,694973,2,3,124.18,26.02
2024-06-09,Jake Burger,669394,661403,2,9,203.11,64.41
2024-05-30,Jose Siri,642350,695243,1,9,31.03,63.54
2024-03-30,Pete Alonso,624413,682842,1,9,54.11,50.84
2024-10-07,Jazz Chisholm Jr.,665862,668674,0,9,211.15,72.85
2024-08-04,Joc Pederson,592626,670059,2,7,60.98,45.96
2024-09-28,Luke Raley,670042,695243,1,9,186.5,57.05
2024-08-23,Junior Caminero,691406,676272,2,1,167.38,35.14
2024-06-23,Yandy Díaz,650490,694973,0,1,190.95,108.2
2024-08-20,Jarren Duran,680776,672391,2,8,57.97,67.21
2024-10-09,Francisco Lindor,596019,608032,1,6,168.56,43.87
2024-04-05,Jarren Duran,680776,667755,1,8,110.09,34.27
2024-06-13,Julio Rodríguez,677594,656629,1,9,194.09,45.21
2024-05-26,Adam Duvall,594807,547973,1,8,60.97,38.06
2024-07-05,Jeff McNeil,643446,694973,0,3,215.09,68.17
2024-08-18,Josh Jung,673962,660896,2,7,108.12,30
2024-08-12,William Contreras,661388,523260,2,6,191.01,47.57
2024-08-20,Jason Heyward,518792,662253,2,8,232.96,78.74
2024-10-17,Aaron Judge,592450,661403,2,8,213.01,83.84
2024-09-29,Chris Taylor,621035,680767,0,8,206.5,60.07
2024-04-12,Michael Busch,683737,592773,1,9,228,69.06
